1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
58.png	frowning face with open mouth	😦️	\U0001F626\U0000FE0F	U+1F626	frowning face with open mouth
59.png	anguished face	😧️	\U0001F627\U0000FE0F	U+1F627	anguished face
60.png	fearful face	😨️	\U0001F628\U0000FE0F	U+1F628	fearful face
61.png	weary face	😩️	\U0001F629\U0000FE0F	U+1F629	weary face
62.png	exploding head	🤯️	\U0001F92F\U0000FE0F	U+1F92F	exploding head
63.png	grimacing face	😬️	\U0001F62C\U0000FE0F	U+1F62C	grimacing face
64.png	anxious face with sweat	😰️	\U0001F630\U0000FE0F	U+1F630	anxious face with sweat
65.png	face screaming in fear	😱️	\U0001F631\U0000FE0F	U+1F631	face screaming in fear
66.png	⊛ hot face	🥵️	\U0001F975\U0000FE0F	U+1F975	⊛ hot face
67.png	⊛ cold face	🥶️	\U0001F976\U0000FE0F	U+1F976	⊛ cold face
68.png	flushed face	😳️	\U0001F633\U0000FE0F	U+1F633	flushed face
69.png	zany face	🤪️	\U0001F92A\U0000FE0F	U+1F92A	zany face
70.png	dizzy face	😵️	\U0001F635\U0000FE0F	U+1F635	dizzy face
71.png	pouting face	😡️	\U0001F621\U0000FE0F	U+1F621	pouting face
72.png	angry face	😠️	\U0001F620\U0000FE0F	U+1F620	angry face
73.png	face with symbols on mouth	🤬️	\U0001F92C\U0000FE0F	U+1F92C	face with symbols on mouth
74.png	face with medical mask	😷️	\U0001F637\U0000FE0F	U+1F637	face with medical mask
75.png	face with thermometer	🤒️	\U0001F912\U0000FE0F	U+1F912	face with thermometer
76.png	face with head-bandage	🤕️	\U0001F915\U0000FE0F	U+1F915	face with head-bandage
77.png	nauseated face	🤢️	\U0001F922\U0000FE0F	U+1F922	nauseated face
78.png	face vomiting	🤮️	\U0001F92E\U0000FE0F	U+1F92E	face vomiting
79.png	sneezing face	🤧️	\U0001F927\U0000FE0F	U+1F927	sneezing face
80.png	smiling face with halo	😇️	\U0001F607\U0000FE0F	U+1F607	smiling face with halo
81.png	cowboy hat face	🤠️	\U0001F920\U0000FE0F	U+1F920	cowboy hat face
82.png	⊛ partying face	🥳️	\U0001F973\U0000FE0F	U+1F973	⊛ partying face
83.png	⊛ woozy face	🥴️	\U0001F974\U0000FE0F	U+1F974	⊛ woozy face
84.png	⊛ pleading face	🥺️	\U0001F97A\U0000FE0F	U+1F97A	⊛ pleading face
85.png	lying face	🤥️	\U0001F925\U0000FE0F	U+1F925	lying face
86.png	shushing face	🤫️	\U0001F92B\U0000FE0F	U+1F92B	shushing face
87.png	face with hand over mouth	🤭️	\U0001F92D\U0000FE0F	U+1F92D	face with hand over mouth
88.png	face with monocle	🧐️	\U0001F9D0\U0000FE0F	U+1F9D0	face with monocle
89.png	nerd face	🤓️	\U0001F913\U0000FE0F	U+1F913	nerd face
90.png	smiling face with horns	😈️	\U0001F608\U0000FE0F	U+1F608	smiling face with horns
91.png	angry face with horns	👿️	\U0001F47F\U0000FE0F	U+1F47F	angry face with horns
92.png	clown face	🤡️	\U0001F921\U0000FE0F	U+1F921	clown face
93.png	ogre	👹️	\U0001F479\U0000FE0F	U+1F479	ogre
94.png	goblin	👺️	\U0001F47A\U0000FE0F	U+1F47A	goblin
95.png	skull	💀️	\U0001F480\U0000FE0F	U+1F480	skull
96.png	skull and crossbones	☠️	\U00002620\U0000FE0F	U+2620	skull and crossbones
97.png	ghost	👻️	\U0001F47B\U0000FE0F	U+1F47B	ghost
98.png	alien	👽️	\U0001F47D\U0000FE0F	U+1F47D	alien
99.png	alien monster	👾️	\U0001F47E\U0000FE0F	U+1F47E	alien monster
100.png	robot face	🤖️	\U0001F916\U0000FE0F	U+1F916	robot face
101.png	pile of poo	💩️	\U0001F4A9\U0000FE0F	U+1F4A9	pile of poo
102.png	grinning cat face	😺️	\U0001F63A\U0000FE0F	U+1F63A	grinning cat face
103.png	grinning cat face with smiling eyes	😸️	\U0001F638\U0000FE0F	U+1F638	grinning cat face with smiling eyes
104.png	cat face with tears of joy	😹️	\U0001F639\U0000FE0F	U+1F639	cat face with tears of joy
105.png	smiling cat face with heart-eyes	😻️	\U0001F63B\U0000FE0F	U+1F63B	smiling cat face with heart-eyes
106.png	cat face with wry smile	😼️	\U0001F63C\U0000FE0F	U+1F63C	cat face with wry smile
107.png	kissing cat face	😽️	\U0001F63D\U0000FE0F	U+1F63D	kissing cat face
108.png	weary cat face	🙀️	\U0001F640\U0000FE0F	U+1F640	weary cat face
109.png	crying cat face	😿️	\U0001F63F\U0000FE0F	U+1F63F	crying cat face
110.png	pouting cat face	😾️	\U0001F63E\U0000FE0F	U+1F63E	pouting cat face
111.png	see-no-evil monkey	🙈️	\U0001F648\U0000FE0F	U+1F648	see-no-evil monkey
112.png	hear-no-evil monkey	🙉️	\U0001F649\U0000FE0F	U+1F649	hear-no-evil monkey
113.png	speak-no-evil monkey	🙊️	\U0001F64A\U0000FE0F	U+1F64A	speak-no-evil monkey
114.png	baby	👶️	\U0001F476\U0000FE0F	U+1F476	baby
115.png	child	🧒️	\U0001F9D2\U0000FE0F	U+1F9D2	child
116.png	boy	👦️	\U0001F466\U0000FE0F	U+1F466	boy
117.png	girl	👧️	\U0001F467\U0000FE0F	U+1F467	girl
118.png	person	🧑️	\U0001F9D1\U0000FE0F	U+1F9D1	person
119.png	person: blond hair	👱️	\U0001F471\U0000FE0F	U+1F471	person: blond hair
120.png	man	👨️	\U0001F468\U0000FE0F	U+1F468	man
121.png	man: blond hair	👱‍♂️️	\U0001F471\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2642 U+FE0F	man: blond hair
122.png	⊛ man: red hair	👨‍🦰️	\U0001F468\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+200D U+1F9B0	⊛ man: red hair
123.png	⊛ man: curly hair	👨‍🦱️	\U0001F468\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+200D U+1F9B1	⊛ man: curly hair
124.png	⊛ man: white hair	👨‍🦳️	\U0001F468\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+200D U+1F9B3	⊛ man: white hair
125.png	⊛ man: bald	👨‍🦲️	\U0001F468\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+200D U+1F9B2	⊛ man: bald
126.png	man: beard	🧔️	\U0001F9D4\U0000FE0F	U+1F9D4	man: beard
127.png	woman	👩️	\U0001F469\U0000FE0F	U+1F469	woman
128.png	woman: blond hair	👱‍♀️️	\U0001F471\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2640 U+FE0F	woman: blond hair
129.png	⊛ woman: red hair	👩‍🦰️	\U0001F469\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+200D U+1F9B0	⊛ woman: red hair
130.png	⊛ woman: curly hair	👩‍🦱️	\U0001F469\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+200D U+1F9B1	⊛ woman: curly hair
131.png	⊛ woman: white hair	👩‍🦳️	\U0001F469\U0000200D\U0001F9B3\U0000FE0F	U+1F469 U+200D U+1F9B3	⊛ woman: white hair
132.png	⊛ woman: bald	👩‍🦲️	\U0001F469\U0000200D\U0001F9B2\U0000FE0F	U+1F469 U+200D U+1F9B2	⊛ woman: bald
133.png	older person	🧓️	\U0001F9D3\U0000FE0F	U+1F9D3	older person
134.png	old man	👴️	\U0001F474\U0000FE0F	U+1F474	old man
135.png	old woman	👵️	\U0001F475\U0000FE0F	U+1F475	old woman
136.png	man health worker	👨‍⚕️️	\U0001F468\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2695 U+FE0F	man health worker
137.png	woman health worker	👩‍⚕️️	\U0001F469\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2695 U+FE0F	woman health worker
138.png	man student	👨‍🎓️	\U0001F468\U0000200D\U0001F393\U0000FE0F	U+1F468 U+200D U+1F393	man student
139.png	woman student	👩‍🎓️	\U0001F469\U0000200D\U0001F393\U0000FE0F	U+1F469 U+200D U+1F393	woman student
140.png	man teacher	👨‍🏫️	\U0001F468\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+200D U+1F3EB	man teacher
141.png	woman teacher	👩‍🏫️	\U0001F469\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+200D U+1F3EB	woman teacher
142.png	man judge	👨‍⚖️️	\U0001F468\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2696 U+FE0F	man judge
143.png	woman judge	👩‍⚖️️	\U0001F469\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2696 U+FE0F	woman judge
144.png	man farmer	👨‍🌾️	\U0001F468\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+200D U+1F33E	man farmer
145.png	woman farmer	👩‍🌾️	\U0001F469\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+200D U+1F33E	woman farmer
146.png	man cook	👨‍🍳️	\U0001F468\U0000200D\U0001F373\U0000FE0F	U+1F468 U+200D U+1F373	man cook
147.png	woman cook	👩‍🍳️	\U0001F469\U0000200D\U0001F373\U0000FE0F	U+1F469 U+200D U+1F373	woman cook
148.png	man mechanic	👨‍🔧️	\U0001F468\U0000200D\U0001F527\U0000FE0F	U+1F468 U+200D U+1F527	man mechanic
149.png	woman mechanic	👩‍🔧️	\U0001F469\U0000200D\U0001F527\U0000FE0F	U+1F469 U+200D U+1F527	woman mechanic
150.png	man factory worker	👨‍🏭️	\U0001F468\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+200D U+1F3ED	man factory worker
151.png	woman factory worker	👩‍🏭️	\U0001F469\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+200D U+1F3ED	woman factory worker
152.png	man office worker	👨‍💼️	\U0001F468\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+200D U+1F4BC	man office worker
153.png	woman office worker	👩‍💼️	\U0001F469\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+200D U+1F4BC	woman office worker
154.png	man scientist	👨‍🔬️	\U0001F468\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+200D U+1F52C	man scientist
155.png	woman scientist	👩‍🔬️	\U0001F469\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+200D U+1F52C	woman scientist
156.png	man technologist	👨‍💻️	\U0001F468\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+200D U+1F4BB	man technologist
157.png	woman technologist	👩‍💻️	\U0001F469\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+200D U+1F4BB	woman technologist
158.png	man singer	👨‍🎤️	\U0001F468\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+200D U+1F3A4	man singer
159.png	woman singer	👩‍🎤️	\U0001F469\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+200D U+1F3A4	woman singer
160.png	man artist	👨‍🎨️	\U0001F468\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+200D U+1F3A8	man artist
161.png	woman artist	👩‍🎨️	\U0001F469\U0000200D\U0001F3A8\U0000FE0F	U+1F469 U+200D U+1F3A8	woman artist
162.png	man pilot	👨‍✈️️	\U0001F468\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2708 U+FE0F	man pilot
163.png	woman pilot	👩‍✈️️	\U0001F469\U0000200D\U00002708\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2708 U+FE0F	woman pilot
164.png	man astronaut	👨‍🚀️	\U0001F468\U0000200D\U0001F680\U0000FE0F	U+1F468 U+200D U+1F680	man astronaut
165.png	woman astronaut	👩‍🚀️	\U0001F469\U0000200D\U0001F680\U0000FE0F	U+1F469 U+200D U+1F680	woman astronaut
166.png	man firefighter	👨‍🚒️	\U0001F468\U0000200D\U0001F692\U0000FE0F	U+1F468 U+200D U+1F692	man firefighter
167.png	woman firefighter	👩‍🚒️	\U0001F469\U0000200D\U0001F692\U0000FE0F	U+1F469 U+200D U+1F692	woman firefighter
168.png	police officer	👮️	\U0001F46E\U0000FE0F	U+1F46E	police officer
169.png	man police officer	👮‍♂️️	\U0001F46E\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F46E U+200D U+2642 U+FE0F	man police officer
170.png	woman police officer	👮‍♀️️	\U0001F46E\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F46E U+200D U+2640 U+FE0F	woman police officer
171.png	detective	🕵️	\U0001F575\U0000FE0F	U+1F575	detective
172.png	man detective	🕵️‍♂️️	\U0001F575\U0000FE0F\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F575 U+FE0F U+200D U+2642 U+FE0F	man detective
173.png	woman detective	🕵️‍♀️️	\U0001F575\U0000FE0F\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F575 U+FE0F U+200D U+2640 U+FE0F	woman detective
174.png	guard	💂️	\U0001F482\U0000FE0F	U+1F482	guard
175.png	man guard	💂‍♂️️	\U0001F482\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F482 U+200D U+2642 U+FE0F	man guard
176.png	woman guard	💂‍♀️️	\U0001F482\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F482 U+200D U+2640 U+FE0F	woman guard
177.png	construction worker	👷️	\U0001F477\U0000FE0F	U+1F477	construction worker
178.png	man construction worker	👷‍♂️️	\U0001F477\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F477 U+200D U+2642 U+FE0F	man construction worker
179.png	woman construction worker	👷‍♀️️	\U0001F477\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F477 U+200D U+2640 U+FE0F	woman construction worker
180.png	prince	🤴️	\U0001F934\U0000FE0F	U+1F934	prince
181.png	princess	👸️	\U0001F478\U0000FE0F	U+1F478	princess
182.png	person wearing turban	👳️	\U0001F473\U0000FE0F	U+1F473	person wearing turban
183.png	man wearing turban	👳‍♂️️	\U0001F473\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F473 U+200D U+2642 U+FE0F	man wearing turban
184.png	woman wearing turban	👳‍♀️️	\U0001F473\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F473 U+200D U+2640 U+FE0F	woman wearing turban
185.png	man with Chinese cap	👲️	\U0001F472\U0000FE0F	U+1F472	man with Chinese cap
186.png	woman with headscarf	🧕️	\U0001F9D5\U0000FE0F	U+1F9D5	woman with headscarf
187.png	man in tuxedo	🤵️	\U0001F935\U0000FE0F	U+1F935	man in tuxedo
188.png	bride with veil	👰️	\U0001F470\U0000FE0F	U+1F470	bride with veil
189.png	pregnant woman	🤰️	\U0001F930\U0000FE0F	U+1F930	pregnant woman
190.png	breast-feeding	🤱️	\U0001F931\U0000FE0F	U+1F931	breast-feeding
191.png	baby angel	👼️	\U0001F47C\U0000FE0F	U+1F47C	baby angel
192.png	Santa Claus	🎅️	\U0001F385\U0000FE0F	U+1F385	Santa Claus
193.png	Mrs. Claus	🤶️	\U0001F936\U0000FE0F	U+1F936	Mrs. Claus
194.png	⊛ superhero	🦸️	\U0001F9B8\U0000FE0F	U+1F9B8	⊛ superhero
195.png	⊛ man superhero	🦸‍♂️️	\U0001F9B8\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9B8 U+200D U+2642 U+FE0F	⊛ man superhero
196.png	⊛ woman superhero	🦸‍♀️️	\U0001F9B8\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9B8 U+200D U+2640 U+FE0F	⊛ woman superhero
197.png	⊛ supervillain	🦹️	\U0001F9B9\U0000FE0F	U+1F9B9	⊛ supervillain
198.png	⊛ man supervillain	🦹‍♂️️	\U0001F9B9\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9B9 U+200D U+2642 U+FE0F	⊛ man supervillain
199.png	⊛ woman supervillain	🦹‍♀️️	\U0001F9B9\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9B9 U+200D U+2640 U+FE0F	⊛ woman supervillain
200.png	mage	🧙️	\U0001F9D9\U0000FE0F	U+1F9D9	mage
201.png	man mage	🧙‍♂️️	\U0001F9D9\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9D9 U+200D U+2642 U+FE0F	man mage
202.png	woman mage	🧙‍♀️️	\U0001F9D9\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9D9 U+200D U+2640 U+FE0F	woman mage
203.png	fairy	🧚️	\U0001F9DA\U0000FE0F	U+1F9DA	fairy
204.png	man fairy	🧚‍♂️️	\U0001F9DA\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DA U+200D U+2642 U+FE0F	man fairy
205.png	woman fairy	🧚‍♀️️	\U0001F9DA\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DA U+200D U+2640 U+FE0F	woman fairy
206.png	vampire	🧛️	\U0001F9DB\U0000FE0F	U+1F9DB	vampire
207.png	man vampire	🧛‍♂️️	\U0001F9DB\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DB U+200D U+2642 U+FE0F	man vampire
208.png	woman vampire	🧛‍♀️️	\U0001F9DB\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DB U+200D U+2640 U+FE0F	woman vampire
209.png	merperson	🧜️	\U0001F9DC\U0000FE0F	U+1F9DC	merperson
210.png	merman	🧜‍♂️️	\U0001F9DC\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DC U+200D U+2642 U+FE0F	merman
211.png	mermaid	🧜‍♀️️	\U0001F9DC\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DC U+200D U+2640 U+FE0F	mermaid
212.png	elf	🧝️	\U0001F9DD\U0000FE0F	U+1F9DD	elf
213.png	man elf	🧝‍♂️️	\U0001F9DD\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DD U+200D U+2642 U+FE0F	man elf
214.png	woman elf	🧝‍♀️️	\U0001F9DD\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DD U+200D U+2640 U+FE0F	woman elf
215.png	genie	🧞️	\U0001F9DE\U0000FE0F	U+1F9DE	genie
216.png	man genie	🧞‍♂️️	\U0001F9DE\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DE U+200D U+2642 U+FE0F	man genie
217.png	woman genie	🧞‍♀️️	\U0001F9DE\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DE U+200D U+2640 U+FE0F	woman genie
218.png	zombie	🧟️	\U0001F9DF\U0000FE0F	U+1F9DF	zombie
219.png	man zombie	🧟‍♂️️	\U0001F9DF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9DF U+200D U+2642 U+FE0F	man zombie
220.png	woman zombie	🧟‍♀️️	\U0001F9DF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9DF U+200D U+2640 U+FE0F	woman zombie
221.png	person frowning	🙍️	\U0001F64D\U0000FE0F	U+1F64D	person frowning
222.png	man frowning	🙍‍♂️️	\U0001F64D\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2642 U+FE0F	man frowning
223.png	woman frowning	🙍‍♀️️	\U0001F64D\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2640 U+FE0F	woman frowning
224.png	person pouting	🙎️	\U0001F64E\U0000FE0F	U+1F64E	person pouting
225.png	man pouting	🙎‍♂️️	\U0001F64E\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2642 U+FE0F	man pouting
226.png	woman pouting	🙎‍♀️️	\U0001F64E\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2640 U+FE0F	woman pouting
227.png	person gesturing NO	🙅️	\U0001F645\U0000FE0F	U+1F645	person gesturing NO
228.png	man gesturing NO	🙅‍♂️️	\U0001F645\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2642 U+FE0F	man gesturing NO
229.png	woman gesturing NO	🙅‍♀️️	\U0001F645\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2640 U+FE0F	woman gesturing NO
230.png	person gesturing OK	🙆️	\U0001F646\U0000FE0F	U+1F646	person gesturing OK
231.png	man gesturing OK	🙆‍♂️️	\U0001F646\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2642 U+FE0F	man gesturing OK
232.png	woman gesturing OK	🙆‍♀️️	\U0001F646\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2640 U+FE0F	woman gesturing OK
233.png	person tipping hand	💁️	\U0001F481\U0000FE0F	U+1F481	person tipping hand
234.png	man tipping hand	💁‍♂️️	\U0001F481\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2642 U+FE0F	man tipping hand
235.png	woman tipping hand	💁‍♀️️	\U0001F481\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2640 U+FE0F	woman tipping hand
236.png	person raising hand	🙋️	\U0001F64B\U0000FE0F	U+1F64B	person raising hand
237.png	man raising hand	🙋‍♂️️	\U0001F64B\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2642 U+FE0F	man raising hand
238.png	woman raising hand	🙋‍♀️️	\U0001F64B\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2640 U+FE0F	woman raising hand
239.png	person bowing	🙇️	\U0001F647\U0000FE0F	U+1F647	person bowing
240.png	man bowing	🙇‍♂️️	\U0001F647\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2642 U+FE0F	man bowing
241.png	woman bowing	🙇‍♀️️	\U0001F647\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2640 U+FE0F	woman bowing
242.png	person facepalming	🤦️	\U0001F926\U0000FE0F	U+1F926	person facepalming
243.png	man facepalming	🤦‍♂️️	\U0001F926\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2642 U+FE0F	man facepalming
244.png	woman facepalming	🤦‍♀️️	\U0001F926\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2640 U+FE0F	woman facepalming
245.png	person shrugging	🤷️	\U0001F937\U0000FE0F	U+1F937	person shrugging
246.png	man shrugging	🤷‍♂️️	\U0001F937\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2642 U+FE0F	man shrugging
247.png	woman shrugging	🤷‍♀️️	\U0001F937\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2640 U+FE0F	woman shrugging
248.png	person getting massage	💆️	\U0001F486\U0000FE0F	U+1F486	person getting massage
